小鞋子,9.2,364086,奔跑的孩子是天使。,马基德·马基迪,默罕默德·阿米尔·纳吉,剧情,伊朗,1997
阿凡达,8.8,1245278,绝对意义上的美轮美奂。,詹姆斯·卡梅隆,萨姆·沃辛顿,动作,美国,2009
海豚湾,9.3,331357,海豚的微笑，是世界上最高明的伪装。,路易·西霍尤斯,Richard,纪录片,美国,2009
哈利·波特与死亡圣器(下),8.9,723190,10年的完美句点。,大卫·叶茨,丹尼尔·雷德克里夫,奇幻,美国,2011
沉默的羔羊,8.9,779941,安东尼·霍普金斯的顶级表演。,乔纳森·戴米,朱迪·福斯特,剧情,美国,1991
致命魔术,8.9,767381,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰,休·杰克曼,剧情,英国,2006
禁闭岛,8.8,858570,昔日翩翩少年，今日大腹便便。,Martin,莱昂纳多·迪卡普里奥,剧情,美国,2010
美国往事,9.2,368636,往事如烟，无处祭奠。,赛尔乔·莱翁内,罗伯特·德尼罗,犯罪,美国,1984
布达佩斯大饭店,8.9,810613,小清新的故事里注入了大历史的情怀。,韦斯·安德森,拉尔夫·费因斯,剧情,美国,2014
蝴蝶效应,8.8,835733,人的命运被自己瞬间的抉择改变。,信息不全,信息不全,信息不全,信息不全,信息不全
心灵捕手,8.9,632054,人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特,马特·达蒙,剧情,美国,1997
低俗小说,8.9,742198,故事的高级讲法。,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,剧情,美国,1994
春光乍泄,9.0,559616,爱情纠缠，男女一致。,王家卫,张国荣,剧情,中国香港,1997
摩登时代,9.3,263647,大时代中的人生，小人物的悲喜。,查理·卓别林,查理·卓别林,剧情,美国,1936
七宗罪,8.8,855845,警察抓小偷，老鼠玩死猫。,大卫·芬奇,摩根·弗里曼,剧情,美国,1995
喜剧之王,8.8,860462,我是一个演员。,周星驰,周星驰,喜剧,中国香港,1999
致命ID,8.8,723336,最不可能的那个人永远是最可能的。,詹姆斯·曼高德,约翰·库萨克,剧情,美国,2003
杀人回忆,8.9,616994,关于连环杀人悬案的集体回忆。,奉俊昊,宋康昊,剧情,韩国,2003
被嫌弃的松子的一生,8.9,643266,以戏谑来戏谑戏谑。,中岛哲也,中谷美纪,剧情,日本,2006
加勒比海盗,8.8,770324,约翰尼·德普的独角戏。,戈尔·维宾斯基,约翰尼·德普,动作,美国,2003
功夫,8.7,953885,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,周星驰,周星驰,动作,中国大陆,2004
红辣椒,9.0,391344,梦的勾结。,今敏,林原惠美,动画,日本,2006
哈利·波特与阿兹卡班的囚徒,8.9,609321,不一样的导演，不一样的哈利·波特。,Alfonso,丹尼尔·雷德克里夫,奇幻,英国,2004
超脱,9.0,481281,穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶,艾德里安·布洛迪,剧情,美国,2011
狩猎,9.1,338236,人言可畏。,托马斯·温特伯格,麦斯·米科尔森,剧情,丹麦,2012
请以你的名字呼唤我,8.9,628490,沉醉在电影的情感和视听氛围中无法自拔。,卢卡·瓜达尼诺,艾米·汉莫,剧情,意大利,2017
剪刀手爱德华,8.7,954884,浪漫忧郁的成人童话。,蒂姆·波顿,约翰尼·德普,剧情,美国,1990
7号房的礼物,8.9,491207,《我是山姆》的《美丽人生》。,李焕庆,柳承龙,剧情,韩国,2013
勇敢的心,8.9,518885,史诗大片的典范。,梅尔·吉布森,梅尔·吉布森,动作,美国,1995
断背山,8.8,642973,每个人心中都有一座断背山。,李安,希斯·莱杰,剧情,美国,2005
唐伯虎点秋香,8.7,951942,华太师是黄霑，吴镇宇四大才子之一。,李力持,周星驰,喜剧,中国香港,1993
天使爱美丽,8.7,894960,法式小清新。 ,让-皮埃尔·热内,奥黛丽·塔图,剧情,法国,2001
第六感,8.9,494474,深入内心的恐怖，出人意料的结局。,M·奈特·沙马兰,布鲁斯·威利斯,剧情,美国,1999
入殓师,8.9,582190,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎,本木雅弘,剧情,日本,2008
幽灵公主,8.9,472394,人与自然的战争史诗。,宫崎骏,松田洋治,动画,日本,1997
重庆森林,8.8,712371,寂寞没有期限。,王家卫,林青霞,剧情,中国香港,1994
爱在黎明破晓前,8.8,582410,缘分是个连绵词，最美不过一瞬。,理查德·林克莱特,伊桑·霍克,剧情,美国,1995
哈利·波特与密室,8.8,635601,魔法的密室之门已打开...,Chris,丹尼尔·雷德克里夫,奇幻,英国,2002
小森林 夏秋篇,9.0,379864,那些静得只能听见呼吸的日子里，你明白孤独即生活。,森淳一,桥本爱,剧情,日本,2014
一一,9.1,325586,我们都曾经是一一。,杨德昌,吴念真,剧情,中国台湾,2000
阳光灿烂的日子,8.8,551113,一场华丽的意淫。,姜文,夏雨,剧情,中国大陆,1994
蝙蝠侠：黑暗骑士崛起,8.8,638804,诺兰就是保证。,克里斯托弗·诺兰,克里斯蒂安·贝尔,剧情,美国,2012
菊次郎的夏天,8.9,523260,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北野武,北野武,剧情,日本,1999
超能陆战队,8.7,902792,Balalala~~~,唐·霍尔,斯科特...<br/>,喜剧,美国,2014
无人知晓,9.1,275485,我的平常生活就是他人的幸福。,是枝裕和,柳乐优弥,剧情,日本,2004
消失的爱人,8.7,821802,年度最佳date movie。,大卫·芬奇,本·阿弗莱克,剧情,美国,2014
完美的世界,9.1,269752,坏人的好总是比好人的好来得更感人。,克林特·伊斯特伍德,凯文·科斯特纳,剧情,美国,1993
爱在日落黄昏时,8.9,480068,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特,伊桑·霍克,剧情,美国,2004
小森林 冬春篇,9.0,340160,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一,桥本爱,剧情,日本,2015
倩女幽魂,8.8,656868,两张绝世的脸。 ,程小东,张国荣,爱情,中国香港,1987
借东西的小人阿莉埃蒂,8.9,488326,曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌,志田未来,动画,日本,2010
甜蜜蜜,8.9,466409,相逢只要一瞬间，等待却像是一辈子。,陈可辛,黎明,剧情,中国香港,1996
侧耳倾听,8.9,410707,少女情怀总是诗。,近藤喜文,本名阳子,剧情,日本,1995
萤火之森,8.9,468112,触不到的恋人。,大森贵弘,佐仓绫音,剧情,日本,2011
幸福终点站,8.8,497489,有时候幸福需要等一等。 ,史蒂文·斯皮尔伯格,汤姆·汉克斯,喜剧,美国,2004
驯龙高手,8.7,679279,和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯,2010,动画,美国,2010
时空恋旅人,8.8,564629,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯,多姆纳尔·格里森,喜剧,英国,2013
玛丽和马克思,8.9,390304,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特,托妮·科莱特,剧情,澳大利亚,2009
怪兽电力公司,8.8,590340,不要给它起名字，起了名字就有感情了。,彼特·道格特,约...<br/>,儿童,美国,2001
大鱼,8.8,513531,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,蒂姆·波顿,伊万·麦克格雷格,剧情,美国,2003
告白,8.8,616063,没有一人完全善，也没有一人完全恶。,中岛哲也,松隆子,剧情,日本,2010
教父3,9.0,322932,任何信念的力量，都无法改变命运。,弗朗西斯·福特·科波拉,阿尔·帕西诺,剧情,美国,1990
一个叫欧维的男人决定去死,8.9,396312,惠及一生的美丽。,汉内斯·赫尔姆,罗夫·拉斯加德,剧情,瑞典,2015
阳光姐妹淘,8.8,547536,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,姜炯哲,沈恩京,剧情,韩国,2011
神偷奶爸,8.6,857761,Mr. I Don't Care其实也有Care的时候。,皮艾尔·柯芬,...<br/>,喜剧,美国,2010
傲慢与偏见,8.7,702889,爱是摈弃傲慢与偏见之后的曙光。,乔·怀特,凯拉·奈特莉,剧情,法国,2005
玩具总动员3,8.9,454275,跨度十五年的欢乐与泪水。,李·昂克里奇,汤姆·汉克斯,喜剧,美国,2010
射雕英雄传之东成西就,8.7,572311,百看不厌。 ,刘镇伟,梁朝伟,喜剧,中国香港,1993
釜山行,8.6,1065735,揭露人性的丧尸题材力作。,延尚昊,孔侑,动作,韩国,2016
恐怖直播,8.7,583000,恐怖分子的“秋菊打官司”。,金秉祐,河正宇,剧情,韩国,2013
寄生虫,8.8,1226084,暂无介绍,奉俊昊,宋康昊,剧情,韩国,2019
被解救的姜戈,8.8,541415,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺,杰米·福克斯,剧情,美国,2012
未麻的部屋,9.0,273108,好的剧本是，就算你猜到了结局也猜不到全部。,今敏,岩男润子,动画,日本,1997
哪吒闹海,9.1,227638,想你时你在闹海。,王树忱,梁正晖,冒险,中国大陆,1979
血战钢锯岭,8.7,710700,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,梅尔·吉布森,安德鲁·加菲尔德,剧情,澳大利亚,2016
头号玩家,8.7,1226449,写给影迷，动漫迷和游戏迷的一封情书。,史蒂文·斯皮尔伯格,泰伊·谢里丹,动作,美国,2018
